n_candidate_flat_labels,n_nonempty_channels,pct_nonempty_channels
1,69860,0.3534280395013761
2,79921,0.4043275457341752
3,39250,0.1985692892990124
4,7617,0.0385350898494414
5,979,0.0049528492795855
6,34,0.00017200906588959043
7,3,1.5177270519669742e-05
