n_specific_candidate_flat_labels,n_nonempty_channels,pct_nonempty_channels
0,36732,0.1858305002428363
1,129854,0.6569430953537316
2,27346,0.1383458798769629
3,3583,0.0181267200906588
4,147,0.0007436862554638174
5,2,1.0118180346446495e-05
