label_a,Film,Hobby,Television_program,Food,Humour,Technology,Health,Vehicle,Pet,Fashion,Tourism,Physical_fitness
Film,100.0,2.3848354410074,15.308932438574441,0.83415768788599,13.563083175146378,0.46787690826939,0.25131673929898,0.21388658663743002,0.4919391492661,0.07753388765607036,0.21923375130337,0.07753388765607036
Hobby,4.69720905739863,100.0,0.6108478146392801,4.80779357556608,0.76882569773565,4.51290152711953,0.49499736703528,3.1542917324907798,4.62875197472353,8.84149552395997,2.61190100052659,0.9794628751974699
Television_program,69.38083121289228,1.40554949715255,100.0,1.6236520053313899,7.58512056221979,0.18175209014903,1.45401672119229,0.29080334423845,0.30292015024839,0.18175209014903,0.38773779231794003,0.10905125408942
Food,2.90936217829168,8.513614323013801,1.24953375606117,100.0,0.96978739276389,0.53151809026482,4.27079447967176,0.12122342409548,2.10742260350615,0.62476687803058,2.7974636329727702,1.01641178664677
Humour,70.19510170195102,2.02020202020202,8.66196208661962,1.43904801439048,100.0,0.1383700013837,0.66417600664176,0.62266500622665,4.31714404317144,0.06918500069185,0.09685900096859,0.38743600387436
Technology,2.89112836609945,14.158268627127041,0.24781100280852,0.9416818106723899,0.16520733520567998,100.0,0.28085246984966,3.86585164381298,0.06608293408227325,0.24781100280852,0.23129026928795,0.03304146704113663
Health,1.57138080909394,1.57138080909394,2.00601805416248,7.65630224005349,0.80240722166499,0.28418589100635,100.0,0.28418589100635,0.53493814777666,0.6519558676028,0.20060180541623998,28.970244065529922
Vehicle,1.3483903590089301,10.096072813079381,0.40451710770267,0.21911343333895,0.7584695769425199,3.9440418001011204,0.28653295128939,100.0,0.20225855385133,0.10112927692566001,1.8877465026125,0.23596831282656
Pet,4.43587270973963,21.190935390549658,0.60270009643201,5.448408871745411,7.52169720347155,0.09643201542912248,0.77145612343297,0.28929604628736,100.0,0.16875602700096,1.1089681774349,0.04821600771456123
Fashion,0.83621683967704,48.41407151095732,0.43252595155709,1.93194925028835,0.14417531718569002,0.43252595155709,1.12456747404844,0.17301038062283,0.20184544405997001,100.0,1.15340253748558,0.74971164936562
Tourism,3.35927898402294,20.31954117165096,1.3109381401065099,12.29004506349856,0.28676771814829,0.57353543629659,0.49160180253994,4.58828349037279,1.88447357640311,1.63867267513314,100.0,0.28676771814829
Physical_fitness,1.2231126107127699,7.844791227330241,0.37958667229017,4.5972163644032,1.18093631379164,0.08435259384226065,73.09152256431885,0.59046815689582,0.08435259384226065,1.09658371994938,0.29523407844791,100.0
