label_a,Film,Hobby,Television_program,Food,Humour,Technology,Health,Vehicle,Pet,Fashion,Tourism,Physical_fitness
Film,27.85157937063457,0.6642143357112,4.26377946892638,0.23232609051781003,3.7775328756310698,0.13031110846351998,0.06999568111754807,0.05957079244046644,0.13701282261307002,0.02159441225966908,0.0610600622514781,0.02159441225966908
Hobby,0.6642143357112,14.14061685555572,0.08637764903867633,0.67985166872682,0.10871669620385,0.63815211401849,0.06999568111754807,0.44603630839798997,0.65453408193962,1.25024200634428,0.36933891313089,0.13850209242408001
Television_program,4.26377946892638,0.08637764903867633,6.145471875139609,0.09978107733778127,0.46614145084664,0.011169523582587456,0.08935618866069965,0.01787123773213993,0.018615872637645758,0.011169523582587456,0.023828316976186575,0.006701714149552474
Food,0.23232609051781003,0.67985166872682,0.09978107733778127,7.98546472664452,0.07744203017260637,0.04244418961383234,0.34104278672167,0.009680253771575796,0.16828748864430998,0.049890538668890635,0.22339047165174003,0.08116520470013552
Humour,3.7775328756310698,0.10871669620385,0.46614145084664,0.07744203017260637,5.38147646209063,0.007446349055058305,0.03574247546427986,0.033508570747762374,0.23232609051781003,0.0037231745275291524,0.0052124443385408135,0.020849777354163254
Technology,0.13031110846351998,0.63815211401849,0.011169523582587456,0.04244418961383234,0.007446349055058305,4.50727508302679,0.012658793393599118,0.17424456788835999,0.002978539622023322,0.011169523582587456,0.010424888677081627,0.001489269811011661
Health,0.06999568111754807,0.06999568111754807,0.08935618866069965,0.34104278672167,0.03574247546427986,0.012658793393599118,4.45440600473587,0.012658793393599118,0.023828316976186575,0.02904076131472739,0.008935618866069965,1.2904522912416
Vehicle,0.05957079244046644,0.44603630839798997,0.01787123773213993,0.009680253771575796,0.033508570747762374,0.17424456788835999,0.012658793393599118,4.41791889436609,0.008935618866069965,0.0044678094330349825,0.08339910941665302,0.010424888677081627
Pet,0.13701282261307002,0.65453408193962,0.018615872637645758,0.16828748864430998,0.23232609051781003,0.002978539622023322,0.023828316976186575,0.008935618866069965,3.08874558803818,0.0052124443385408135,0.0342532056532682,0.001489269811011661
Fashion,0.02159441225966908,1.25024200634428,0.011169523582587456,0.049890538668890635,0.0037231745275291524,0.011169523582587456,0.02904076131472739,0.0044678094330349825,0.0052124443385408135,2.5823938522942202,0.02978539622023322,0.019360507543151592
Tourism,0.0610600622514781,0.36933891313089,0.023828316976186575,0.22339047165174003,0.0052124443385408135,0.010424888677081627,0.008935618866069965,0.08339910941665302,0.0342532056532682,0.02978539622023322,1.81765380433973,0.0052124443385408135
Physical_fitness,0.02159441225966908,0.13850209242408001,0.006701714149552474,0.08116520470013552,0.020849777354163254,0.001489269811011661,1.2904522912416,0.010424888677081627,0.001489269811011661,0.019360507543151592,0.0052124443385408135,1.76552936095432
