label_a,Film,Hobby,Television_program,Food,Humour,Technology,Health,Vehicle,Pet,Fashion,Tourism,Physical_fitness
Film,3.590460658235971,0.1686514432409945,2.491091449056,0.1044595044171599,2.5203275106172796,0.1038048265639013,0.0564198097415883,0.0484134253596625,0.1592682644926274,0.0300240366461485,0.1206135903217327,0.0439153770935652
Hobby,0.1686514432409945,7.0718272775144815,0.0993980327386017,0.6020680999972698,0.142865197525545,1.0012483027969454,0.1111253366911336,0.7139768311530718,1.4985863493093607,3.423759515267247,1.436962855242598,0.554770085878403
Television_program,2.491091449056,0.0993980327386017,16.272143462983156,0.2033259254046757,1.4094868974439545,0.0403241618940603,0.3264221356666631,0.0658236040976901,0.0980722243429553,0.0703812433520032,0.213317734869095,0.0617668878814206
Food,0.1044595044171599,0.6020680999972698,0.2033259254046757,12.522752704214849,0.1802084241370339,0.1179244844110765,0.9587797958091608,0.0274390333987515,0.6822907693231811,0.2419332269845428,1.5390519505384896,0.5756980365919099
Humour,2.5203275106172796,0.142865197525545,1.4094868974439545,0.1802084241370339,18.58226096582261,0.0306992581626013,0.149105403938396,0.1409407961338307,1.3977014034080653,0.0267910336877488,0.0532879257520517,0.21944466766893
Technology,0.1038048265639013,1.0012483027969454,0.0403241618940603,0.1179244844110765,0.0306992581626013,22.18635387411201,0.0630504874389676,0.875039070713334,0.0213947481910434,0.095961738209827,0.1272466014901958,0.0187147649718363
Health,0.0564198097415883,0.1111253366911336,0.3264221356666631,0.9587797958091608,0.149105403938396,0.0630504874389676,22.44968238047476,0.0643257374798703,0.1731894494154272,0.2524618260780034,0.1103630432469058,16.40881466274262
Vehicle,0.0484134253596625,0.7139768311530718,0.0658236040976901,0.0274390333987515,0.1409407961338307,0.875039070713334,0.0643257374798703,22.635091859093208,0.0654824258218704,0.039161058579746,1.0385621828014908,0.1336530097120644
Pet,0.1592682644926274,1.4985863493093607,0.0980722243429553,0.6822907693231811,1.3977014034080653,0.0213947481910434,0.1731894494154272,0.0654824258218704,32.37560270009643,0.0653486790371035,0.6101096780845702,0.0273096606495963
Fashion,0.0300240366461485,3.423759515267247,0.0703812433520032,0.2419332269845428,0.0267910336877488,0.095961738209827,0.2524618260780034,0.039161058579746,0.0653486790371035,38.72376009227221,0.634555675416177,0.4246384489241152
Tourism,0.1206135903217327,1.436962855242598,0.213317734869095,1.5390519505384896,0.0532879257520517,0.1272466014901958,0.1103630432469058,1.0385621828014908,0.6101096780845702,0.634555675416177,55.01597705858254,0.162425912868021
Physical_fitness,0.0439153770935652,0.554770085878403,0.0617668878814206,0.5756980365919099,0.21944466766893,0.0187147649718363,16.40881466274262,0.1336530097120644,0.0273096606495963,0.4246384489241152,0.162425912868021,56.64023618726276
