language_code,canonical_iso639_3,display_name,mapping_source
aie,aie,Amara,iso639_3
aif,aif,Agi,iso639_3
aig,aig,Antigua and Barbuda Creole English,iso639_3
aih,aih,Ai-Cham,iso639_3
aii,aii,Assyrian Neo-Aramaic,iso639_3
aij,aij,Lishanid Noshan,iso639_3
aik,aik,Ake,iso639_3
ail,ail,Aimele,iso639_3
aim,aim,Aimol,iso639_3
ain,ain,Ainu (Japan),iso639_3
aio,aio,Aiton,iso639_3
aip,aip,Burumakok,iso639_3
aiq,aiq,Aimaq,iso639_3
air,air,Airoran,iso639_3
ait,ait,Arikem,iso639_3
aiw,aiw,Aari,iso639_3
aix,aix,Aighon,iso639_3
aiy,aiy,Ali,iso639_3
aja,aja,Aja (South Sudan),iso639_3
ajg,ajg,Aja (Benin),iso639_3
aji,aji,Ajië,iso639_3
ajn,ajn,Andajin,iso639_3
ajp,ajp,South Levantine Arabic,iso639_3
ajs,ajs,Algerian Jewish Sign Language,iso639_3
aju,aju,Judeo-Moroccan Arabic,iso639_3
ajw,ajw,Ajawa,iso639_3
ajz,ajz,Amri Karbi,iso639_3
aka,aka,Akan,iso639_3
akb,akb,Batak Angkola,iso639_3
akc,akc,Mpur,iso639_3
akd,akd,Ukpet-Ehom,iso639_3
ake,ake,Akawaio,iso639_3
akf,akf,Akpa,iso639_3
akg,akg,Anakalangu,iso639_3
akh,akh,Angal Heneng,iso639_3
aki,aki,Aiome,iso639_3
akj,akj,Aka-Jeru,iso639_3
akk,akk,Akkadian,iso639_3
akl,akl,Aklanon,iso639_3
akm,akm,Aka-Bo,iso639_3
ako,ako,Akurio,iso639_3
akp,akp,Siwu,iso639_3
akq,akq,Ak,iso639_3
akr,akr,Araki,iso639_3
aks,aks,Akaselem,iso639_3
akt,akt,Akolet,iso639_3
aku,aku,Akum,iso639_3
akv,akv,Akhvakh,iso639_3
akw,akw,Akwa,iso639_3
akx,akx,Aka-Kede,iso639_3
aky,aky,Aka-Kol,iso639_3
akz,akz,Alabama,iso639_3
ala,ala,Alago,iso639_3
alb,sqi,Albanian,iso639_2_bibliographic_alias
alc,alc,Qawasqar,iso639_3
ald,ald,Alladian,iso639_3
ale,ale,Aleut,iso639_3
alf,alf,Alege,iso639_3
alg,alg,Algonquian languages,iso639_5_collection
alh,alh,Alawa,iso639_3
ali,ali,Amaimon,iso639_3
alj,alj,Alangan,iso639_3
alk,alk,Alak,iso639_3
all,all,Allar,iso639_3
alm,alm,Amblong,iso639_3
aln,aln,Gheg Albanian,iso639_3
alo,alo,Larike-Wakasihu,iso639_3
alp,alp,Alune,iso639_3
alq,alq,Algonquin,iso639_3
alr,alr,Alutor,iso639_3
als,als,Tosk Albanian,iso639_3
alt,alt,Southern Altai,iso639_3
alu,alu,'Are'are,iso639_3
alv,alv,Atlantic-Congo languages,iso639_5_collection
alw,alw,Alaba-K’abeena,iso639_3
alx,alx,Amol,iso639_3
aly,aly,Alyawarr,iso639_3
alz,alz,Alur,iso639_3
ama,ama,Amanayé,iso639_3
amb,amb,Ambo,iso639_3
amc,amc,Amahuaca,iso639_3
ame,ame,Yanesha',iso639_3
amf,amf,Hamer-Banna,iso639_3
amg,amg,Amurdak,iso639_3
amh,amh,Amharic,iso639_3
ami,ami,Amis,iso639_3
amj,amj,Amdang,iso639_3
amk,amk,Ambai,iso639_3
aml,aml,War-Jaintia,iso639_3
amm,amm,Ama (Papua New Guinea),iso639_3
amn,amn,Amanab,iso639_3
amo,amo,Amo,iso639_3
amp,amp,Alamblak,iso639_3
amq,amq,Amahai,iso639_3
amr,amr,Amarakaeri,iso639_3
ams,ams,Southern Amami-Oshima,iso639_3
amt,amt,Amto,iso639_3
amu,amu,Guerrero Amuzgo,iso639_3
amv,amv,Ambelau,iso639_3
amw,amw,Western Neo-Aramaic,iso639_3
amx,amx,Anmatyerre,iso639_3
amy,amy,Ami,iso639_3
amz,amz,Atampaya,iso639_3
ana,ana,Andaqui,iso639_3
anb,anb,Andoa,iso639_3
anc,anc,Ngas,iso639_3
and,and,Ansus,iso639_3
ane,ane,Xârâcùù,iso639_3
anf,anf,Animere,iso639_3
ang,ang,Old English (ca. 450-1100),iso639_3
anh,anh,Nend,iso639_3
ani,ani,Andi,iso639_3
anj,anj,Anor,iso639_3
ank,ank,Goemai,iso639_3
anl,anl,Anu-Hkongso Chin,iso639_3
anm,anm,Anal,iso639_3
ann,ann,Obolo,iso639_3
ano,ano,Andoque,iso639_3
anp,anp,Angika,iso639_3
anq,anq,Jarawa (India),iso639_3
anr,anr,Andh,iso639_3
ans,ans,Anserma,iso639_3
ant,ant,Antakarinya,iso639_3
anu,anu,Anuak,iso639_3
anv,anv,Denya,iso639_3
anw,anw,Anaang,iso639_3
anx,anx,Andra-Hus,iso639_3
any,any,Anyin,iso639_3
anz,anz,Anem,iso639_3
aoa,aoa,Angolar,iso639_3
aob,aob,Abom,iso639_3
aoc,aoc,Pemon,iso639_3
aod,aod,Andarum,iso639_3
aoe,aoe,Angal Enen,iso639_3
aof,aof,Bragat,iso639_3
aog,aog,Angoram,iso639_3
aoi,aoi,Anindilyakwa,iso639_3
aoj,aoj,Mufian,iso639_3
aok,aok,Arhö,iso639_3
aol,aol,Alor,iso639_3
aom,aom,Ömie,iso639_3
aon,aon,Bumbita Arapesh,iso639_3
aor,aor,Aore,iso639_3
aos,aos,Taikat,iso639_3
aot,aot,Atong (India),iso639_3
aou,aou,A'ou,iso639_3
aox,aox,Atorada,iso639_3
aoz,aoz,Uab Meto,iso639_3
apa,apa,Apache languages,iso639_5_collection
apb,apb,Sa'a,iso639_3
apc,apc,North Levantine Arabic,iso639_3
apd,apd,Sudanese Arabic,iso639_3
ape,ape,Bukiyip,iso639_3
apf,apf,Pahanan Agta,iso639_3
apg,apg,Ampanang,iso639_3
aph,aph,Athpariya,iso639_3
api,api,Apiaká,iso639_3
apj,apj,Jicarilla Apache,iso639_3
apk,apk,Kiowa Apache,iso639_3
apl,apl,Lipan Apache,iso639_3
apm,apm,Mescalero-Chiricahua Apache,iso639_3
apn,apn,Apinayé,iso639_3
apo,apo,Ambul,iso639_3
app,app,Apma,iso639_3
apq,apq,A-Pucikwar,iso639_3
apr,apr,Arop-Lokep,iso639_3
aps,aps,Arop-Sissano,iso639_3
apt,apt,Apatani,iso639_3
apu,apu,Apurinã,iso639_3
apv,apv,Alapmunte,iso639_3
apw,apw,Western Apache,iso639_3
apx,apx,Aputai,iso639_3
apy,apy,Apalaí,iso639_3
apz,apz,Safeyoka,iso639_3
aqa,aqa,Alacalufan languages,iso639_5_collection
aqc,aqc,Archi,iso639_3
aqd,aqd,Ampari Dogon,iso639_3
aqg,aqg,Arigidi,iso639_3
aqk,aqk,Aninka,iso639_3
aql,aql,Algic languages,iso639_5_collection
aqm,aqm,Atohwaim,iso639_3
aqn,aqn,Northern Alta,iso639_3
aqp,aqp,Atakapa,iso639_3
aqr,aqr,Arhâ,iso639_3
aqt,aqt,Angaité,iso639_3
aqz,aqz,Akuntsu,iso639_3
ara,ara,Arabic,iso639_3
arb,arb,Standard Arabic,iso639_3
arc,arc,Official Aramaic (700-300 BCE),iso639_3
ard,ard,Arabana,iso639_3
are,are,Western Arrarnta,iso639_3
arg,arg,Aragonese,iso639_3
